Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
379,-1235,29,-11,-9.427481,0.221374,-0.083969,-1.365519,-0.323931,0.189122,-30.387786,2.141298,-1.190992,0.167049,0.074590,-0.155975
380,-819,92,-250,-6.251908,0.702290,-1.908397,1.810053,0.156985,-1.635305,-30.450305,2.148321,-1.210076,0.185150,0.076160,-0.172328
381,-1105,148,-79,-8.435115,1.129771,-0.603053,-0.373153,0.584466,-0.329962,-30.534656,2.159618,-1.216107,0.181418,0.082005,-0.175628
382,-997,99,-71,-7.610687,0.755725,-0.541985,0.451275,0.210420,-0.268893,-30.610763,2.167176,-1.221527,0.185931,0.084109,-0.178317
383,-1261,42,-244,-9.625954,0.320611,-1.862595,-1.563992,-0.224695,-1.589504,-30.707023,2.170382,-1.240153,0.170291,0.081862,-0.194212
384,-1089,120,-72,-8.312977,0.916031,-0.549618,-0.251015,0.370725,-0.276527,-30.790153,2.179542,-1.245649,0.167781,0.085569,-0.196977
385,-1272,129,-25,-9.709924,0.984733,-0.190840,-1.647962,0.439427,0.082252,-30.887252,2.189389,-1.247557,0.151301,0.089964,-0.196155
386,-1011,13,230,-7.717557,0.099237,1.755725,0.344405,-0.446069,2.028817,-30.964427,2.190382,-1.230000,0.154745,0.085503,-0.175866
387,-1032,37,-239,-7.877863,0.282443,-1.824427,0.184099,-0.262863,-1.551336,-31.043206,2.193206,-1.248244,0.156586,0.082874,-0.191380
388,-1077,98,-65,-8.221374,0.748092,-0.496183,-0.159412,0.202786,-0.223092,-31.125420,2.200687,-1.253206,0.154992,0.084902,-0.193611
389,-987,247,12,-7.534351,1.885496,0.091603,0.527611,1.340191,0.364695,-31.200763,2.219542,-1.252290,0.160268,0.098304,-0.189964
390,-1273,10,164,-9.717557,0.076336,1.251908,-1.655595,-0.468969,1.525000,-31.297939,2.220305,-1.239771,0.143712,0.093615,-0.174714
